Opened	Name	City	Market
6/16/2016	Vernon	Vernon	Connecticut\Hartford
6/16/2016	6th & Occidental	Los Angeles	California\LosAngeles
6/16/2016	Iowa & King - Bellingham	Bellingham	Washington\Bellingham
6/16/2016	Ludlow	Ludlow	Massachusetts\WesternMassachusetts
6/16/2016	East & Cohasset	Chico	California\NorthernCalifornia
6/16/2016	Huffmeister & White Oak	Houston	Texas\Houston
6/14/2016	Dobson & Frye, Chandler	Chandler	Arizona\Phoenix
6/13/2016	Meadows Prkwy & Factory Shops	Castle Rock	Colorado\ColoradoSprings
6/13/2016	York Mills and Lesmill	North York	Ontario\GreaterTorontoArea
6/13/2016	116th & Mingo Valley Expresswa	Owasso	Oklahoma\Tulsa
6/11/2016	3901 Walnut St	Philadelphia	Pennsylvania\Philadelphia
6/10/2016	Veterans Pkwy & Surfside Blvd	Cape Coral	Florida\Naples
6/10/2016	Boones Ferry & SW 65th	Lake Oswego	Oregon\Portland
6/10/2016	Foothill & Todd	Azusa	California\SanGabrielValley
6/10/2016	Highway 85 & Ellis	Fayetteville	Georgia\AtlantaSuburbs
6/9/2016	Watt & Elkhorn	North Highland	California\Sacramento
6/9/2016	Los Osos Valley Rd & 10th Stre	Los Osos	California\CentralCoast
6/8/2016	The Acadia	Arlington	Virginia\NorthernVirginia
6/6/2016	Bozeman - Main and 11th	Bozeman	Montana
6/4/2016	700 South Main Street - Logan	Logan	Utah
6/4/2016	Jefferson & Overland	Temecula	California\RiversideCounty
6/3/2016	Sutton, Pleasant Valley Crossi	Sutton	Massachusetts\BostonSuburbs
6/3/2016	Monroe - Telegraph & Mall Rd	Frenchtown Township	Michigan\MichiganRemoteMarkets
6/3/2016	SR 580 & Overcash	Dunedin	Florida\StPetersburg
6/3/2016	Barnett & Medical Ctr. Dr - Me	Medford	Oregon\SouthernOregon
5/30/2016	351 & Enterprise	Abilene	Texas\Abilene
5/30/2016	FM1463 & Westpark	Fulshear	Texas\HoustonSuburbs
5/28/2016	24th Avenue & Northern	Phoenix	Arizona\Phoenix
5/27/2016	Poydras & St Charles	New Orleans	Louisiana\NewOrleans
5/26/2016	43 Milner Avenue Building C	Scarborough	Ontario\GreaterTorontoArea
5/26/2016	Durfee & Thienes	South El Monte	California\SanGabrielValley
5/24/2016	Sherway Gardens Indigo	Toronto	Ontario\Toronto
5/24/2016	La Cienega and Airdrome	Los Angeles	California\LosAngeles
5/23/2016	University & Sunrise	Round Rock	Texas\AustinSuburbs
5/23/2016	407 & McMakin	Bartonville	Texas\Denton
5/23/2016	Cactus and Tatum	Phoenix	Arizona\Phoenix
5/23/2016	Grapevine Mills - Entrance 5	Grapevine	Texas\MidCities
5/20/2016	S Wadsworth and W Jewel	Lakewood	Colorado\Denver
5/20/2016	Clifton Park Center	Clifton Park	NewYork\Albany
5/20/2016	Cornerstone Plaza	North Olmsted	Ohio\Cleveland
5/18/2016	Yonge & Brookside	Richmond Hill	Ontario\GreaterTorontoArea
5/18/2016	Carrefour Laval	Montreal	Quebec\Montreal
5/16/2016	Robb and Sharlands - Reno	Reno	Nevada\Reno
5/16/2016	Oceanside-Long Beach Rd	Oceanside	NewYork\LongIsland
5/16/2016	West Adams & Hilliard	Temple	Texas\RemoteMarkets
5/13/2016	Stockdale Hwy & Calloway Drive	Bakersfield	California\KernCounty
5/13/2016	Washington Square West Kiosk	Tigard	Oregon\Portland
5/13/2016	Lexington Rd & Marsailles Rd	Versailles	Kentucky\KentuckyRemoteMarkets
5/13/2016	Los Cerritos Center	Cerritos	California\SoutheastLosAngeles
5/12/2016	York & Industrial	Elmhurst	Illinois\Cook
5/12/2016	Gonzales & Rose	Oxnard	California\Ventura
5/9/2016	Plano & Renner	Richardson	Texas\DallasSuburbs
5/9/2016	63rd & 3rd Ave	New York	NewYork\NewYorkCity
5/7/2016	N Decatur & Church	Decatur	Georgia\AtlantaSuburbs
5/7/2016	Rutland Crossing	Kelowna	BritishColumbia\EasternBritishColumbia
5/7/2016	26th & Yeon	Portland	Oregon\Portland
5/6/2016	Martin Way & Kingham - Lacey	Lacey	Washington\Olympia
5/6/2016	N Lindbergh and New Halls Ferr	Florissant	Missouri\StLouisSuburbs
5/6/2016	Center Court Kiosk Woodfield M	Schaumburg	Illinois\Cook
5/5/2016	200 North Michigan Avenue	Chicago	Illinois\Chicago
5/5/2016	Galloway Township	Galloway	NewJersey\JerseyShore
5/3/2016	Rio Rancho - 528 and Southern	Rio Rancho	NewMexico\Albuquerque
5/3/2016	Bloomingdale & Army Trail	Glendale Heights	Illinois\DuPage
5/2/2016	7th & Peachtree	Atlanta	Georgia\Atlanta
4/29/2016	Stirling Rd & University Dr	Cooper City	Florida\BrowardCounty
4/29/2016	W Florissant & Somerset - Ferg	Ferguson	Missouri\StLouisSuburbs
4/29/2016	Windward & Cingular	Alpharetta	Georgia\AtlantaSuburbs
4/29/2016	Latrobe	Latrobe	Pennsylvania\PittsburghSuburbs
4/28/2016	Clark and Diversey	Chicago	Illinois\Chicago
4/25/2016	Paramount & Imperial	Downey	California\SoutheastLosAngeles
4/25/2016	William D Tate & Hwy 114	Grapevine	Texas\MidCities
4/25/2016	Hwy 111 & Magnesia Falls	Rancho Mirage	California\PalmSprings
4/24/2016	Four Seasons Boulevard & I-26	Hendersonville	NorthCarolina\Asheville
4/22/2016	Eastern & Coronado Center	Henderson	Nevada\LasVegas
4/21/2016	Union Station Chicago	Chicago	Illinois\Chicago
4/21/2016	128th St SW & 4th Ave W - Ever	Everett	Washington\Seattle
4/21/2016	Eagleview Blvd Lionville	Exton	Pennsylvania\PhiladelphiaSuburbs
4/20/2016	Pottstown	Stowe	Pennsylvania\PhiladelphiaSuburbs
4/18/2016	46th between 6th and 5th	New York	NewYork\NewYorkCity
4/18/2016	Eagle Creek Village SC	Victoria	BritishColumbia\VancouverIsland
4/18/2016	Ellsworth Rd & Rittenhouse Rd	Queen Creek	Arizona\Phoenix
4/18/2016	I-35 & CR 123	San Marcos	Texas\SanAntonioSuburbs
4/14/2016	1615 Orleans Blvd	Ottawa	Ontario\Ottawa
4/14/2016	Linwood Plaza	Colchester	Connecticut\ConnecticutRemoteMarkets
4/13/2016	Mira Mesa & Camino Ruiz	San Diego	California\SanDiego
4/11/2016	Collier Blvd & Immokalee Rd	Naples	Florida\Naples
4/9/2016	Pico & Stewart	Santa Monica	California\WestLosAngeles
4/8/2016	Western Blvd & Gateway Dr	Jacksonville	NorthCarolina\NorthCarolinaRemoteMarkets
4/8/2016	Chambersburg, Norland Ave	Chambersburg	Pennsylvania\PennsylvaniaRemoteMarkets
4/7/2016	Cochran and Galena	Simi Valley	California\Ventura
4/7/2016	King George Gateway	King George	Virginia\VirginiaRemoteMarkets
4/7/2016	Franklin & Villard - Eugene	Eugene	Oregon\WestCentralOregon
4/1/2016	Park Blvd & Seminole Blvd	Seminole	Florida\Tampa
4/1/2016	Old Milton & Amber Park	Alpharetta	Georgia\AtlantaSuburbs
4/1/2016	ABQ - Rio Grande and I-40	Albuquerque	NewMexico\Albuquerque
4/1/2016	6700 W Atlantic Blvd	Margate	Florida\BrowardCounty
4/1/2016	92-77 Queens Blvd	Rego Park	NewYork\Queens
4/1/2016	Fowler & 15th	Tampa	Florida\Tampa
4/1/2016	International Pkwy & Heathrow	Lake Mary	Florida\Orlando
3/31/2016	Mt Juliet - Lebanon Rd	Mt Juliet	Tennessee\Nashville
3/31/2016	Talmadge & Monroe	Toledo	Ohio\Toledo
3/31/2016	Grand & Golden Springs	Diamond Bar	California\SanGabrielValley
3/31/2016	Foothill & Madison	Monrovia	California\SanGabrielValley
3/29/2016	I-10 & Cielo Vista	San Antonio	Texas\SanAntonio
3/29/2016	Hwy 49 & Steelecroft Pkwy	Charlotte	NorthCarolina\Charlotte
3/28/2016	Chimney Rock Rd & Richmond Ave	Houston	Texas\Houston
3/27/2016	42nd & Ben Shepperd	Odessa	Texas\MidlandOdessa
3/25/2016	Gahanna Starbucks Hamilton Roa	Columbus	Ohio\Columbus
3/25/2016	Lyndale and Last Chance - Hele	Helena	Montana
3/25/2016	Grandview Crossing	Gibsonia	Pennsylvania\PittsburghSuburbs
3/24/2016	Ave 18.5 & Hwy 99	Madera	California\CentralValley
3/24/2016	Hwy 3 & Finn Hill Rd	Poulsbo	Washington\KitsapCounty
3/23/2016	Manchester & Oak	Inglewood	California\SouthLosAngeles
3/23/2016	Liberty & Blake Street	Liberty Township	Ohio\Cincinnati
3/21/2016	Square One South	Mississauga	Ontario\PeelRegion
3/18/2016	SR-37 & Pleasant - Noblesville	Noblesville	Indiana\Indianapolis
3/18/2016	Granby & Plume	Norfolk	Virginia\ChesapeakeBayRegion
3/17/2016	Lakeshore & Leslie Drive-Thru	Toronto	Ontario\Toronto
3/16/2016	Grand Ave & Elm Street	Arroyo Grande	California\CentralCoast
3/16/2016	Los Olivos Market Place	Irvine	California\OrangeCounty
3/15/2016	Bruce B Downs & E 132nd St	Tampa	Florida\Tampa
3/12/2016	Berkeley & Union - Tillicum	Lakewood	Washington\Tacoma
3/11/2016	SR 70 & Lockwood	Bradenton	Florida\SarasotaBradenton
3/11/2016	Flatbush Ave & Kings Hwy	Brooklyn	NewYork\Brooklyn
3/10/2016	Stonebridge Centre	Saskatoon	Saskatchewan
3/10/2016	Hwy 49 & Willow Creek	Auburn	California\Sacramento
3/10/2016	Jamboree & Bryan	Irvine	California\OrangeCounty
3/7/2016	Mills & Mills Circle	Ontario	California\SanBernardinoCounty
3/7/2016	89th Ave & Sutphin Blvd.	Queens	NewYork\Queens
3/5/2016	I-90 & Sutton Rd. - Prairie St	Hoffman Estates	Illinois\Cook
3/5/2016	Elliott Rd & Hwy 99 - Newberg	Newberg	Oregon\Portland
3/4/2016	US 17-92 & Orange Camp Rd	Deland	Florida\Orlando
3/3/2016	North Bergen, River Rd.	North Bergen	NewJersey\NorthJersey
3/1/2016	Agency and Roosevelt - Burling	Burlington	Iowa
3/1/2016	Folsom & Dawes	Rancho Cordova	California\Sacramento
2/29/2016	Alma School & Baseline Rd, Mes	Mesa	Arizona\Phoenix
2/26/2016	White Bear Ave & I-694	White Bear Lake	Minnesota\MinneapolisSuburbs
2/26/2016	378 Welton Street	Sydney	NovaScotia
2/26/2016	Hartsdale, South Central Ave	Hartsdale	NewYork\WestchesterCounty
2/25/2016	Santa Monica & Robertson	West Hollywood	California\LosAngelesCounty
2/25/2016	2500 N Roosevelt Blvd	Key West	Florida\MonroeCounty
2/22/2016	Yucaipa & 6th	Yucaipa	California\SanBernardinoCounty
2/19/2016	S. Memorial Dr & Whitley Dr	Greenville	NorthCarolina\NorthCarolinaRemoteMarkets
2/18/2016	NE 4th Street and Union Ave NE	Renton	Washington\Seattle
2/18/2016	JFK and North Hills	North Little Rock	Arkansas
2/17/2016	Union XP Go-West York Concours	Toronto	Ontario\Toronto
2/17/2016	Norwalk, Darinor Plaza	Norwalk	Connecticut\SouthernConnecticut
2/17/2016	Eldridge & West	Houston	Texas\Houston
2/16/2016	SR 54 & Little Rd	Trinity	Florida\StPetersburg
2/15/2016	Hwy 90 & Easton	Sugar Land	Texas\HoustonSuburbs
2/14/2016	8th North and State - Orem	Orem	Utah
2/14/2016	Houston Galleria 1st Floor	Houston	Texas\Houston
2/12/2016	US 75 & Beltline	Richardson	Texas\DallasSuburbs
2/12/2016	210 W. Ironwood Drive	Couer d`Alene	Idaho\NorthernIdaho
2/12/2016	Las Vegas - Decatur and Hwy 21	Las Vegas	Nevada\LasVegas
2/12/2016	Lehi - Main St and I-15	Lehi	Utah
2/12/2016	Huguenot Village Shopping Cent	Richmond	Virginia\Richmond
2/11/2016	Lincoln & 84th	Los Angeles	California\LosAngeles
2/11/2016	Edwards Crossing - Yale & Onta	Chilliwack	BritishColumbia\Vancouver
2/10/2016	CR 21 and Old Carriage - Shako	Shakopee	Minnesota\MinneapolisSuburbs
2/8/2016	US 290 & Lexington	Manor	Texas\AustinSuburbs
2/5/2016	Woodmere Center	Woodmere	Ohio\Cleveland
2/5/2016	1304 F Street	Washington	WashingtonDC\WashingtonDC
2/4/2016	Redlands & Clark	Redlands	California\SanBernardinoCounty
2/4/2016	University & Buchanan Ave.	Charlottetown	PrinceEdwardIsland
2/4/2016	Villanova	Villanova	Pennsylvania\PhiladelphiaSuburbs
2/3/2016	Cooper & Warner	Gilbert	Arizona\Phoenix
2/1/2016	Rivercenter Mall	San Antonio	Texas\SanAntonio
1/29/2016	Danforth & Monarch Park	Toronto	Ontario\Toronto
1/29/2016	Amos Hall	Pittsburgh	Pennsylvania\Pittsburgh
1/29/2016	Lawrenceville Suwanee & Nrthol	Suwanee	Georgia\AtlantaSuburbs
1/29/2016	E Ennis Ave & Mulberry	Ennis	Texas\RemoteMarkets
1/28/2016	Wynnewood	Wynnewood	Pennsylvania\PhiladelphiaSuburbs
1/28/2016	Central & The I-10	Montclair	California\SanBernardinoCounty
1/28/2016	Cure-Labelle & Cloutier	Rosemere	Quebec\Montreal
1/27/2016	1117 Savannah Hwy	Charleston	SouthCarolina\Charleston
1/25/2016	Bay Area & Glenwest	Webster	Texas\HoustonSuburbs
1/23/2016	White Bluff and Abercorn	Savannah	Georgia\Savannah
1/20/2016	I-35 & N Tarrant Pkwy	Fort Worth	Texas\FortWorth
1/20/2016	Hwy 290 & 34th St	Houston	Texas\Houston
1/18/2016	Billings - Main Street	Billings	Montana
1/18/2016	6th between 39th and 40th	New York	NewYork\NewYorkCity
1/18/2016	Kino & I-10, Tucson Marketplac	Tucson	Arizona\Tucson
1/15/2016	Lake Mary & Sun	Lake Mary	Florida\Orlando
1/14/2016	Natoma Station	Folsom	California\Sacramento
1/11/2016	21st & Yale Ave	Tulsa	Oklahoma\Tulsa
1/8/2016	S Main St and Masten Dr	Kernersville	NorthCarolina\WinstonSalem
1/8/2016	827 Arthur Godfrey Road	Miami Beach	Florida\Miami
1/7/2016	Sunrise & Cirby Roseville	Roseville	California\Sacramento
1/7/2016	600 Route 38 Cherry Hill	Cherry Hill	NewJersey\SouthJersey
1/7/2016	Citrus & Arrow	Covina	California\SanGabrielValley
1/4/2016	53rd Inside Park Ave Plaza	New York	NewYork\NewYorkCity
1/4/2016	Beltway 8 & Harwin	Houston	Texas\Houston
12/28/2015	Central and 53rd - Fridley	Fridley	Minnesota\MinneapolisSuburbs
12/22/2015	Calumet & Braden - Munster	Munster	Indiana\NorthwestIndiana
12/21/2015	56th Street & Indian School	Phoenix	Arizona\Phoenix
12/21/2015	Esmark Center -Sewickley	Sewickley	Pennsylvania\PittsburghSuburbs
12/21/2015	Durham-Chapel Hill & Tower Blv	Durham	NorthCarolina\RaleighDurhamChapelHill
12/20/2015	295 North Front Street-Bellevi	Belleville	Ontario\KingstonBelleville
12/20/2015	Edina - Hwy 100 and Industrial	Edina	Minnesota\MinneapolisSuburbs
12/16/2015	Brandywine Mills	Glen Mills	Pennsylvania\PhiladelphiaSuburbs
12/15/2015	Broken Arrow Expy & S Lynn Lan	Tulsa	Oklahoma\Tulsa
12/13/2015	S. Rice & West Park Tollway	Houston	Texas\Houston
12/13/2015	82nd & King	Portland	Oregon\Portland
12/12/2015	7th & Westlake - Seattle	Seattle	Washington\Seattle
12/12/2015	Huntingdon Valley Shopping Ctr	Abington	Pennsylvania\PhiladelphiaSuburbs
12/11/2015	ABQ - Juan Tabo and Montgomery	Albuquerque	NewMexico\Albuquerque
12/10/2015	Gateway Village Saanich	Saanich	BritishColumbia\VancouverIsland
12/8/2015	81st & Olympia	Tulsa	Oklahoma\Tulsa
12/5/2015	Plaza 15 Shopping Center	Lewisburg	Pennsylvania\PennsylvaniaRemoteMarkets
12/4/2015	Outlets at San Clemente	San Clemente	California\OrangeCounty
12/4/2015	Alliance, West State St.	Alliance	Ohio\OhioRemoteMarkets
12/3/2015	White & Hughes	Bakersfield	California\KernCounty
12/3/2015	Hwy 246 & McMurray	Buellton	California\CentralCoast
12/2/2015	Bourque & Mi-Vallon	Sherbrooke	Quebec\QuebecRemoteMarkets
12/1/2015	3750 4th Street SW - Mason Cit	Mason City	Iowa
11/26/2015	Dawson Creek	Dawson Creek	BritishColumbia\BritishColumbiaRemoteMarkets
11/25/2015	Steamboat-Hwy 40 and Anglers	Steamboat Springs	Colorado\ColoradoRemoteMarkets
11/24/2015	Belleville Rd & I-94	Belleville	Michigan\DetroitSuburbs
11/24/2015	Jersey Shore Premium Outlets	Tinton Falls	NewJersey\JerseyShore
11/22/2015	West Main Street, Waterbury	Waterbury	Connecticut\SouthernConnecticut
11/22/2015	Whiskey Rd & Millbrook Ave	Aiken	SouthCarolina\SouthCarolinaRemoteMarkets
11/22/2015	240 Route 202 - Flemington	Flemington	NewJersey\CentralJersey
11/20/2015	Clearwater Springs SC	Indianapolis	Indiana\Indianapolis
11/20/2015	CR 42 and Burnhaven Dr	Burnsville	Minnesota\MinneapolisSuburbs
11/20/2015	Frisco	Frisco	Colorado\ColoradoRemoteMarkets
11/20/2015	Madison Farms	Bethlehem	Pennsylvania\Allentown
11/20/2015	Laurel Canyon & Burbank	Valley Village	California\LosAngelesCounty
11/19/2015	Army Trail & Gary	Bloomingdale	Illinois\DuPage
11/19/2015	135th & Quivira	Overland Park	Kansas\KansasCityKansasSuburbs
11/19/2015	84th St SW & Pfeiffer Farms Dr	Byron Center	Michigan\GrandRapids
11/16/2015	SLC - 114th and Bangerter	South Jordan	Utah
11/16/2015	Hwy 70 & Smithfield Crossing E	Smithfield	NorthCarolina\NorthCarolinaRemoteMarkets
11/14/2015	Hwy 169 and Elm Creek - Champl	Champlin	Minnesota\MinneapolisSuburbs
11/13/2015	Holiday Manor	Louisville	Kentucky\Louisville
11/13/2015	Depot St & Center Hill Road	Manchester	Vermont
11/12/2015	California & Easton	Bakersfield	California\KernCounty
11/12/2015	Ala Moana Center L1 Ewa Wing	Honolulu	Hawaii\Oahu
11/9/2015	Rayford & Richard	Spring	Texas\HoustonSuburbs
11/9/2015	East Hills	Calgary	Alberta\Calgary
11/6/2015	TriCounty Mall DT	Springdale	Ohio\Cincinnati
11/6/2015	Parma, Seven Hills	Parma	Ohio\Cleveland
11/6/2015	Narcoossee & Vickrey	Orlando	Florida\Orlando
11/6/2015	Chaplin Hill Rd, Morgantown	Morgantown	WestVirginia
11/6/2015	Bloomfield Place & Telegraph	Bloomfield Township	Michigan\DetroitSuburbs
11/6/2015	Level 2- Tysons Corner on the	McLean	Virginia\NorthernVirginia
11/6/2015	Hwy 11 & Hall Ave.	Slidell	Louisiana\Slidell
11/3/2015	Custer & Hwy 380	Prosper	Texas\DallasSuburbs
11/3/2015	Marine Gateway	Vancouver	BritishColumbia\Vancouver
11/2/2015	Cremazie & Casgrain	Montreal	Quebec\Montreal
11/2/2015	6355 Yonge St	Toronto	Ontario\Toronto
11/2/2015	Durham & Loop 610	Houston	Texas\Houston
10/29/2015	Tampa Premium Outlets	Lutz	Florida\Tampa
10/27/2015	1604 & Hausman	San Antonio	Texas\SanAntonio
10/26/2015	Bay City	Bangor Twp	Michigan\MichiganRemoteMarkets
10/24/2015	Lillys Corner, New Albany	New Albany	Ohio\Columbus
10/23/2015	Berdan Ave & Hamburg Turnpike	Wayne	NewJersey\NorthJersey
10/22/2015	3rd & Mission Bay Blvd	San Francisco	California\SanFrancisco
10/17/2015	Long Shoals Rd & I-26	Arden	NorthCarolina\Asheville
10/15/2015	S. Durango Dr. and W. Arby Ave	Las Vegas	Nevada\LasVegas
10/10/2015	Danbury - Route 84 at North St	Danbury	Connecticut\SouthernConnecticut
10/9/2015	West Main & Lumber St.	Hopkinton	Massachusetts\BostonSuburbs
10/9/2015	Bridgeville, South Fayette	Bridgeville	Pennsylvania\PittsburghSuburbs
10/9/2015	Augusta, Western Ave	Augusta	Maine
10/9/2015	Cheektowaga	Cheektowaga	NewYork\Buffalo
10/9/2015	ABQ - San Mateo and Montgomery	Albuquerque	NewMexico\Albuquerque
10/9/2015	Bay Pines & 100th Way N	St. Petersburg	Florida\StPetersburg
10/9/2015	Fallon & 580	Dublin	California\AlamedaCounty
10/3/2015	Foothill & Hubbard	Sylmar	California\LosAngelesCounty
10/1/2015	Tucson Premium Outlets	Tucson	Arizona\Tucson
10/1/2015	Belmont and City Line Ave	Philadelphia	Pennsylvania\Philadelphia
10/1/2015	Edmonds Way & 100th	Edmonds	Washington\Seattle
9/30/2015	Chanhassen - Dakota Ave II	Chanhassen	Minnesota\MinneapolisSuburbs
9/30/2015	Camarillo Premium Outlets	Camarillo	California\Ventura
9/28/2015	Berg Pkwy & Hwy 99 - Canby	Canby	Oregon\Portland
9/28/2015	Cermak & Harlem	Berwyn	Illinois\Cook
9/28/2015	Dent- Blue Sky Dr	Cincinnati	Ohio\Cincinnati
9/27/2015	E Cliff & Portola	Santa Cruz	California\CentralCoast
9/26/2015	Silverthorne - Rainbow and I-7	Silverthorne	Colorado\ColoradoRemoteMarkets
9/26/2015	Vance Jackson & Huebner	San Antonio	Texas\SanAntonio
9/26/2015	95-17 63rd Drive	Rego Park	NewYork\Queens
9/26/2015	Juan Tabo and I-40	Albuquerque	NewMexico\Albuquerque
9/25/2015	Mississippi & Abilene, Aurora	Aurora	Colorado\Denver
9/25/2015	Mebane Oaks Rd & I-40, Exit 15	Mebane	NorthCarolina\RaleighDurhamChapelHill
9/25/2015	Mission & Ammunition	Fallbrook	California\SanDiego
9/25/2015	Saxon & Enterprise	Orange City	Florida\Orlando
9/25/2015	Dale Mabry & Walnut	Tampa	Florida\Tampa
9/25/2015	Antonio & Crown Valley	Ladera Ranch	California\OrangeCounty
9/25/2015	ABQ - Coors Bypass and 7 Bar L	Albuquerque	NewMexico\Albuquerque
9/25/2015	Bridgeport Steelpointe Harbor	Bridgeport	Connecticut\SouthernConnecticut
9/25/2015	14th St & Sadler	Fernandina Beach	Florida\Jacksonville
9/25/2015	Higgins & Meacham	Schaumburg	Illinois\Cook
9/25/2015	I-210 and W. Prien Lake Road	Lake Charles	Louisiana\LakeCharles
9/24/2015	Orland	Orland	California\NorthernCalifornia
9/24/2015	1604 & Pat Booker	Live Oak	Texas\SanAntonioSuburbs
9/24/2015	John & Work Salinas	Salinas	California\CentralCoast
9/24/2015	I-10 & College, Beaumont	Beaumont	Texas\RemoteMarkets
9/24/2015	Harlem & Lawrence	Harwood Heights	Illinois\Cook
9/23/2015	Middleburg Heights	Cleveland	Ohio\Cleveland
9/23/2015	Cortlandt Manor	Cortlandt Manor	NewYork\WestchesterCounty
9/23/2015	Bernal & Santa Teresa	San Jose	California\SantaClaraCounty
9/23/2015	Dublin, Perimeter Center	Dublin	Ohio\Columbus
9/22/2015	Medlock Bridge and Abbotts Bri	Johns Creek	Georgia\AtlantaSuburbs
9/21/2015	Newman & Shevchenko	Lasalle	Quebec\Montreal
9/21/2015	329 Wyckoff Ave.	Ridgewood	NewYork\Queens
9/21/2015	148th St. SW & Highway 99	Lynnwood	Washington\Seattle
9/21/2015	Hwy 104 - Kingston	Kingston	Washington\KitsapCounty
9/21/2015	Hwy 89A & Kallof Pl, Sedona	Sedona	Arizona\Flagstaff
9/19/2015	Ridgeview Shopping Center	Hanover	Maryland\Baltimore
9/19/2015	MLK & Mariah	Las Vegas	Nevada\LasVegas
9/18/2015	Waldon and Sashabaw	Independence Township	Michigan\DetroitSuburbs
9/18/2015	47th Street East & Palmdale Bl	Palmdale	California\AntelopeValley
9/18/2015	Coit & Campbell	Richardson	Texas\DallasSuburbs
9/18/2015	Greenville Powder Mill Square	Greenville	Delaware
9/17/2015	SLC - 90th and State	Sandy	Utah
9/17/2015	Union University & Lanese	Jackson	Tennessee\TennesseeRemoteMarkets
9/17/2015	The Shoppes at Shipley`s Grant	Ellicott City	Maryland\Baltimore
9/17/2015	Barrington	Barrington	Illinois\Cook
9/17/2015	Arneill & Las Posas	Camarillo	California\Ventura
9/17/2015	Fayetteville and Rena Rd	Van Buren	Arkansas
9/17/2015	Finch & Chesswood	Toronto	Ontario\Toronto
9/14/2015	Radio & Santa Barbara	Naples	Florida\Naples
9/14/2015	161st & Morris Ave	Bronx	NewYork\Bronx
9/14/2015	19th Ave & Thunderbird	Phoenix	Arizona\Phoenix
9/14/2015	Lake Forest & Rockfield	Lake Forest	California\OrangeCounty
9/11/2015	Round Lake Blvd and Northdale	Anoka	Minnesota\MinneapolisSuburbs
9/11/2015	N Roxboro St & Fairfield St	Durham	NorthCarolina\RaleighDurhamChapelHill
9/11/2015	Sepulveda & National	Los Angeles	California\LosAngeles
9/11/2015	SC 81 and Cornelia	Anderson	SouthCarolina\Greenville
9/11/2015	Pocatello - Yellowstone and Al	Pocatello	Idaho\IdahoRemoteMarkets
9/11/2015	Whittier & Broadway	Whittier	California\SoutheastLosAngeles
9/11/2015	Dawson Road and Westover	Albany	Georgia\GeorgiaRemoteMarkets
9/11/2015	Bear & South Coast Plaza	Costa Mesa	California\OrangeCounty
9/10/2015	Mountain & 60	Ontario	California\SanBernardinoCounty
9/10/2015	Sierra Lakes & Citrus	Fontana	California\RiversideCounty
9/10/2015	Route 66 & Ponderosa Pkwy	Flagstaff	Arizona\Flagstaff
9/10/2015	829 The Queensway	Toronto	Ontario\Toronto
9/10/2015	55th St & Broadway, Tempe	Tempe	Arizona\Phoenix
9/10/2015	Crossroads & 60 Fwy	City of Industry	California\SanGabrielValley
9/10/2015	E Race and Rand	Searcy	Arkansas
9/8/2015	Stratford Rd & Ricks Dr	Winston-Salem	NorthCarolina\WinstonSalem
9/7/2015	Midland - 7026 Ruffie Way	Columbus	Georgia\GeorgiaRemoteMarkets
9/7/2015	South Neil & Carriage Center	Champaign	Illinois\IllinoisRemoteMarkets
9/7/2015	I-10 & 1463	Katy	Texas\HoustonSuburbs
9/5/2015	Shoppes on Broad	Newark	NewJersey\NorthJersey
9/4/2015	Martin Luther King Jr. Blvd &	New Bern	NorthCarolina\NorthCarolinaRemoteMarkets
9/4/2015	Lawrenceville	Lawrenceville	NewJersey\CentralJersey
9/3/2015	27th Avenue & Loop 101 Phoenix	Phoenix	Arizona\Phoenix
9/3/2015	Malden Rd & Wyoming Ave	LaSalle	Ontario\Windsor
9/1/2015	U of O Erb Memorial Student Un	Eugene	Oregon\WestCentralOregon
9/1/2015	Vierra Canyon & Hwy 101	Prunedale	California\CentralCoast
8/31/2015	Tropicana and S. Eastern	Las Vegas	Nevada\LasVegas
8/29/2015	20th Street and 3rd Ave.	Birmingham	Alabama\Birmingham
8/29/2015	Gravois and Rock Hill-Affton	Affton	Missouri\StLouisSuburbs
8/28/2015	Valley Center & Lorene	Victorville	California\SanBernardinoCounty
8/28/2015	Shops at Hilliard Rome Road	Columbus	Ohio\Columbus
8/28/2015	Hwy 6 & Willowcreek - Portage	Portage	Indiana\NorthwestIndiana
8/28/2015	Elm Street Enfield	Enfield	Connecticut\Hartford
8/28/2015	Harbor East - President Street	Baltimore	Maryland\Baltimore
8/27/2015	Johnson and Lamar	Mission	Kansas\KansasCityKansasSuburbs
8/26/2015	New Berlin	New Berlin	Wisconsin\Milwaukee
8/26/2015	Westheimer & Hillcroft	Houston	Texas\Houston
8/26/2015	Lincoln Way - Campus Town	Ames	Iowa
8/25/2015	Penn Medicine Perelman Center	Philadelphia	Pennsylvania\Philadelphia
8/24/2015	Angel & Lucas	Lucas	Texas\DallasSuburbs
8/24/2015	Islandia-495 & Old Nichols Rd	Islandia	NewYork\LongIsland
8/22/2015	Northeast Ridgewood	Ridgewood	NewJersey\NorthJersey
8/22/2015	Phillipsburg	Phillipsburg	NewJersey\NorthJersey
8/21/2015	Cedar Hill Shopping Center,Voo	Voorhees	NewJersey\JerseyShore
8/20/2015	Palomar Airport & Business Par	Vista	California\SanDiego
8/20/2015	Briggsmore & McHenry	Modesto	California\ModestoStockton
8/19/2015	Mariposa Rd & 1-19, Nogales	Nogales	Arizona\ArizonaRemoteMarkets
